nom_com,nom_dept
Donges,Loire-Atlantique
Frossay,Loire-Atlantique
Savenay,Loire-Atlantique
Saint-Etienne-De-Montluc,Loire-Atlantique
Trignac,Loire-Atlantique
Cholet,Maine-et-Loire
Nantes,Loire-Atlantique
Saint-Nazaire,Loire-Atlantique
Angers,Maine-et-Loire
Laval,Mayenne
La Tardière,Vendée
Paimbœuf,Loire-Atlantique
La Roche-Sur-Yon,Vendée
Bouaye,Loire-Atlantique
Spay,Sarthe
Le Mans,Sarthe
Bouchemaine,Maine-et-Loire
Saint-Denis-D'Anjou,Mayenne
Pornichet,Loire-Atlantique
Rezé,Loire-Atlantique
Bouguenais,Loire-Atlantique
Montoir-De-Bretagne,Loire-Atlantique
